id;tipo_telefone;numero;pessoa_id
75d55481-c076-4e44-b062-8f4d8c54e586;whose qua what;modulo bump;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
eae9dc7f-0c84-4477-9440-a59f0cbbdd5d;guest;seldom swear fiercely;41ea72dd-60f0-482b-979a-f044b4c6ba28
1bb51c52-3630-41b6-a386-d4b27663bfde;past blink requite;serve;41ea72dd-60f0-482b-979a-f044b4c6ba28
cd9b6030-696e-456e-93d4-40d9695d2b10;of magnetize;yowza now mockingly;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
8c006d45-7cb8-426e-90ed-21a69e09e26a;qua;upright upright concerning;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
3591537b-277a-488b-92fd-4b670597b12a;horse completion controvert;typeface unearth pink;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
217bf369-0088-4df0-999e-b4f1d3fced97;warming but;but if unused;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
4c63c9f0-7afa-42ab-b9f7-a75f58156e8f;disk;yahoo;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
bf04a682-9a9d-43e2-8c32-c8c28ce16c1f;pleasure which;cinder;41ea72dd-60f0-482b-979a-f044b4c6ba28
ab9d4834-0f12-4d45-9031-d8b4f9379a90;ill;below;f4d96ee7-46c2-4ca1-857c-5b31f420cfa8
